Ticker,Listed Data,City,State,Number of employees,Industry,IPO Price,Current,Return,Year
LDI,2021-02-11,FOOTHILL RANCH,CA,11664.0,FINANCE SERVICES,14.0,3.81,-72.79%,2021
DSP,2021-02-10,IRVINE,CA,289.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",25.0,7.13,-71.48%,2021
VLON,2021-02-10,PHILADELPHIA,PA,2.0,PHARMACEUTICAL PREPARATIONS,8.0,4.70,-41.25%,2021
LGAC,2021-04-05,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
ENNV,2021-04-01,SUMMIT,NJ,7.0,FABRICATED STRUCTURAL METAL PRODUCTS,10.0,7.82,-21.80%,2021
PGRW,2021-03-16,BOSTON,MA,3.0,BLANK CHECKS,10.0,9.79,-2.10%,2021
ADRA,2021-03-24,CHARLOTTE,NC,2.0,BLANK CHECKS,10.0,9.78,-2.20%,2021
SPAQ,2021-04-01,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.91,-0.90%,2021
PMGM,2021-04-01,FORT LAUDERDALE,FL,4.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
PICC,2021-04-01,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
VENA,2021-04-13,NEW YORK,NY,2.0,SERVICES-COMPUTER PROGRAMMING SERVICES,10.0,10.09,0.90%,2021
EVOJ,2021-04-01,CRYSTAL BAY,NV,3.0,BLANK CHECKS,10.0,9.69,-3.10%,2021
SDAC,2021-03-29,LOS ANGELES,CA,2.0,BLANK CHECKS,10.0,9.78,-2.20%,2021
BOLT,2021-02-05,REDWOOD CITY,CA,65.0,PHARMACEUTICAL PREPARATIONS,20.0,3.39,-83.05%,2021
GSQD,2021-03-26,CHICAGO,IL,3.0,BLANK CHECKS,10.0,9.88,-1.20%,2021
JOFF,2021-03-29,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
CPUH,2021-03-29,WILMINGTON,DE,2.0,BLANK CHECKS,10.0,9.76,-2.40%,2021
TERN,2021-02-05,FOSTER CITY,CA,30.0,PHARMACEUTICAL PREPARATIONS,17.0,4.45,-73.82%,2021
QFTA,2021-03-10,TAMPA,FL,3.0,BLANK CHECKS,10.0,9.89,-1.10%,2021
ANGN,2021-02-05,UNIONDALE,NY,53.0,PHARMACEUTICAL PREPARATIONS,16.0,2.54,-84.13%,2021
VOR,2021-02-05,CAMBRIDGE,MA,122.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",18.0,7.39,-58.94%,2021
RMGC,2021-03-29,MIAMI BEACH,FL,4.0,BLANK CHECKS,10.0,9.74,-2.65%,2021
COVA,2021-03-30,SAN FRANCISCO,CA,2.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
LHDX,2021-02-05,EMERYVILLE,CA,102.0,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,17.0,5.07,-70.18%,2021
TBCP,2021-03-29,GREAT FALLS,NY,2.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
SNSE,2021-02-04,GAITHERSBURG,MD,32.0,PHARMACEUTICAL PREPARATIONS,19.0,4.50,-76.32%,2021
ACII,2021-03-29,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
LABP,2021-02-04,BLACKSBURG,VA,33.0,PHARMACEUTICAL PREPARATIONS,16.0,2.85,-82.22%,2021
SANA,2021-02-04,SEATTLE,WA,354.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",25.0,7.64,-69.44%,2021
NXU,2021-03-29,INDIANAPOLIS,IN,2.0,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",10.0,9.99,-0.10%,2021
ASAX,2021-03-15,KEY BISCAYNE,FL,2.0,TRANSPORTATION SERVICES,10.0,9.97,-0.30%,2021
ITQ,2021-03-29,NEW YORK,NY,6.0,BLANK CHECKS,10.0,9.69,-3.10%,2021
GHAC,2021-03-26,LAS VEGAS,NV,3.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
PRPC,2021-03-26,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.77,-2.30%,2021
KRNL,2021-03-26,SAN FRANCISCO,CA,5.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
TMAC,2021-03-26,HOLLYWOOD,CA,2.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
ONTF,2021-02-03,SAN FRANCISCO,CA,547.0,SERVICES-PREPACKAGED SOFTWARE,50.0,15.40,-69.20%,2021
MDH,2021-03-25,SOUTHLAKE,TX,4.0,BLANK CHECKS,10.0,9.79,-2.10%,2021
AAC,2021-03-25,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.76,-2.40%,2021
JWSM,2021-03-26,MIAMI BEACH,FL,3.0,BLANK CHECKS,10.0,9.76,-2.40%,2021
